User ID;Subscription Type;Monthly Revenue;Join Date;Last Payment Date;Country;Age;Gender;Device;Plan Duration
1;Basic;10;15/01/2022;10/06/2023;United States;28;Male;Smartphone;17 Months
2;Premium;15;05/09/2021;22/06/2023;Canada;35;Female;Tablet;22 Months
3;Standard;12;28/02/2023;27/06/2023;United Kingdom;42;Male;Smart TV;4 Months
4;Standard;12;10/07/2022;26/06/2023;Australia;51;Female;Laptop;12 Months
5;Basic;10;01/05/2023;28/06/2023;Germany;33;Male;Smartphone;2 Months
6;Premium;15;18/03/2022;27/06/2023;France;29;Female;Smart TV;16 Months
7;Standard;12;09/12/2021;25/06/2023;Brazil;46;Male;Tablet;19 Months
8;Basic;10;02/04/2023;24/06/2023;Mexico;39;Female;Laptop;3 Months
9;Standard;12;20/10/2022;23/06/2023;Spain;37;Male;Smartphone;8 Months
10;Premium;15;07/01/2023;22/06/2023;Italy;44;Female;Smart TV;6 Months
11;Basic;10;16/05/2022;22/06/2023;United States;31;Female;Smartphone;13 Months
12;Premium;15;23/03/2023;28/06/2023;Canada;45;Male;Tablet;3 Months
13;Standard;12;30/11/2021;27/06/2023;United Kingdom;48;Female;Laptop;19 Months
14;Basic;10;01/08/2022;26/06/2023;Australia;27;Male;Smartphone;11 Months
15;Standard;12;09/05/2023;28/06/2023;Germany;38;Female;Smart TV;2 Months
16;Premium;15;07/04/2022;27/06/2023;France;36;Male;Tablet;15 Months
17;Basic;10;24/01/2022;25/06/2023;Brazil;30;Female;Laptop;17 Months
18;Standard;12;18/10/2021;24/06/2023;Mexico;43;Male;Smartphone;20 Months
19;Premium;15;15/02/2023;23/06/2023;Spain;32;Female;Smart TV;4 Months
20;Basic;10;27/05/2023;22/06/2023;Italy;41;Male;Tablet;1 Month
21;Premium;15;10/06/2023;22/06/2023;United States;26;Female;Laptop;1 Month
22;Basic;10;22/07/2022;28/06/2023;Canada;34;Male;Smartphone;11 Months
23;Standard;12;05/12/2021;27/06/2023;United Kingdom;49;Female;Smart TV;19 Months
24;Standard;12;03/04/2022;26/06/2023;Australia;31;Male;Tablet;15 Months
25;Basic;10;14/03/2023;28/06/2023;Germany;40;Female;Laptop;4 Months
26;Premium;15;12/01/2022;27/06/2023;France;29;Male;Smartphone;18 Months
27;Basic;10;29/08/2022;25/06/2023;Brazil;47;Female;Smart TV;10 Months
28;Standard;12;27/09/2021;24/06/2023;Mexico;33;Male;Tablet;21 Months
29;Premium;15;19/12/2022;23/06/2023;Spain;36;Female;Laptop;6 Months
30;Basic;10;17/05/2023;22/06/2023;Italy;42;Male;Smartphone;1 Month
31;Premium;15;03/02/2023;22/06/2023;United States;28;Female;Smart TV;5 Months
32;Basic;10;07/07/2022;28/06/2023;Canada;37;Male;Tablet;12 Months
33;Standard;12;21/01/2022;27/06/2023;United Kingdom;41;Female;Laptop;17 Months
34;Standard;12;25/05/2022;26/06/2023;Australia;29;Male;Smartphone;13 Months
35;Basic;10;11/04/2023;28/06/2023;Germany;39;Female;Smart TV;3 Months
36;Premium;15;01/03/2022;27/06/2023;France;35;Male;Tablet;16 Months
37;Basic;10;14/09/2022;25/06/2023;Brazil;45;Female;Laptop;9 Months
38;Standard;12;05/11/2021;24/06/2023;Mexico;32;Male;Smartphone;20 Months
39;Premium;15;28/12/2022;23/06/2023;Spain;27;Female;Smart TV;6 Months
40;Basic;10;07/03/2023;22/06/2023;Italy;48;Male;Tablet;4 Months
41;Premium;15;20/01/2023;22/06/2023;United States;31;Female;Laptop;5 Months
42;Basic;10;15/06/2022;28/06/2023;Canada;40;Male;Smartphone;13 Months
43;Standard;12;07/02/2022;27/06/2023;United Kingdom;36;Female;Smart TV;17 Months
44;Standard;12;26/04/2022;26/06/2023;Australia;29;Male;Tablet;14 Months
45;Basic;10;28/01/2023;28/06/2023;Germany;43;Female;Laptop;5 Months
46;Premium;15;23/02/2022;27/06/2023;France;34;Male;Smartphone;16 Months
47;Basic;10;05/10/2022;25/06/2023;Brazil;39;Female;Smart TV;9 Months
48;Standard;12;15/09/2021;24/06/2023;Mexico;32;Male;Tablet;22 Months
49;Premium;15;10/11/2022;23/06/2023;Spain;28;Female;Laptop;8 Months
50;Basic;10;02/06/2023;22/06/2023;Italy;45;Male;Smartphone;1 Month
51;Premium;15;27/02/2023;22/06/2023;United States;30;Female;Smart TV;4 Months
52;Basic;10;29/08/2022;28/06/2023;Canada;37;Male;Tablet;10 Months
53;Standard;12;13/01/2022;27/06/2023;United Kingdom;41;Female;Laptop;18 Months
54;Standard;12;30/06/2022;26/06/2023;Australia;29;Male;Smartphone;12 Months
55;Basic;10;20/04/2023;28/06/2023;Germany;39;Female;Smart TV;2 Months
56;Premium;15;15/03/2022;27/06/2023;France;36;Male;Tablet;16 Months
57;Basic;10;01/10/2022;25/06/2023;Brazil;46;Female;Laptop;9 Months
58;Standard;12;08/10/2021;24/06/2023;Mexico;34;Male;Smartphone;21 Months
59;Premium;15;03/12/2022;23/06/2023;Spain;27;Female;Smart TV;7 Months
60;Basic;10;14/06/2023;22/06/2023;Italy;42;Male;Tablet;1 Month
61;Premium;15;08/02/2023;22/06/2023;United States;28;Female;Laptop;4 Months
62;Basic;10;03/08/2022;28/06/2023;Canada;37;Male;Smartphone;11 Months
63;Standard;12;23/02/2022;27/06/2023;United Kingdom;41;Female;Smart TV;16 Months
64;Standard;12;20/06/2022;26/06/2023;Australia;29;Male;Tablet;12 Months
65;Basic;10;29/03/2023;28/06/2023;Germany;40;Female;Laptop;3 Months
66;Premium;15;30/01/2022;27/06/2023;France;29;Male;Smartphone;17 Months
67;Basic;10;18/09/2022;25/06/2023;Brazil;47;Female;Smart TV;9 Months
68;Standard;12;09/11/2021;24/06/2023;Mexico;33;Male;Tablet;20 Months
69;Premium;15;23/12/2022;23/06/2023;Spain;36;Female;Laptop;6 Months
70;Basic;10;08/05/2023;22/06/2023;Italy;41;Male;Smartphone;2 Months
71;Basic;10;26/01/2022;20/06/2023;United States;27;Male;Smartphone;17 Months
72;Basic;10;11/10/2022;22/06/2023;Canada;31;Female;Smartphone;8 Months
73;Standard;12;27/09/2022;26/06/2023;United Kingdom;28;Female;Laptop;9 Months
74;Premium;13;14/12/2022;25/06/2023;Australia;41;Female;Smartphone;6 Months
75;Basic;13;28/05/2022;26/06/2023;Germany;28;Female;Laptop;13 Months
76;Basic;13;29/12/2021;26/06/2023;France;51;Female;Laptop;18 Months
77;Premium;15;25/12/2022;23/06/2023;Brazil;45;Female;Smartphone;6 Months
78;Standard;15;18/11/2022;28/06/2023;Mexico;49;Male;Tablet;7 Months
79;Standard;15;03/12/2022;25/06/2023;Spain;43;Female;Laptop;7 Months
80;Basic;12;08/11/2022;22/06/2023;Italy;43;Male;Tablet;8 Months
81;Premium;10;11/01/2023;24/06/2023;United States;37;Male;Tablet;5 Months
82;Standard;12;07/12/2022;28/06/2023;Canada;35;Male;Laptop;7 Months
83;Basic;10;20/10/2022;26/06/2023;United Kingdom;46;Female;Smartphone;8 Months
84;Standard;12;13/04/2023;25/06/2023;Australia;32;Male;Smartphone;2 Months
85;Premium;10;06/04/2023;27/06/2023;Germany;37;Female;Laptop;3 Months
86;Basic;11;04/03/2022;25/06/2023;France;29;Female;Smartphone;16 Months
87;Premium;15;28/12/2021;23/06/2023;Brazil;45;Male;Smart TV;18 Months
88;Standard;12;27/09/2022;28/06/2023;Mexico;47;Male;Tablet;9 Months
89;Basic;15;20/10/2022;26/06/2023;Spain;39;Male;Smartphone;8 Months
90;Standard;13;03/02/2023;23/06/2023;Italy;49;Female;Smartphone;5 Months
91;Premium;11;03/10/2022;23/06/2023;United States;39;Male;Tablet;9 Months
92;Basic;14;05/01/2022;28/06/2023;Canada;39;Male;Smart TV;18 Months
93;Standard;12;05/02/2022;26/06/2023;United Kingdom;35;Male;Smartphone;17 Months
94;Premium;12;19/03/2022;25/06/2023;Australia;44;Male;Smartphone;15 Months
95;Basic;11;28/02/2022;25/06/2023;Germany;34;Male;Laptop;16 Months
96;Premium;14;26/07/2022;24/06/2023;France;32;Male;Laptop;11 Months
97;Basic;10;05/03/2022;24/06/2023;Brazil;29;Female;Tablet;16 Months
98;Standard;13;07/03/2022;28/06/2023;Mexico;31;Female;Tablet;16 Months
99;Standard;12;13/01/2023;24/06/2023;Spain;29;Female;Tablet;5 Months
100;Basic;12;22/01/2023;25/06/2023;Italy;35;Male;Laptop;5 Months
101;Premium;11;17/10/2022;24/06/2023;United States;46;Female;Tablet;8 Months
102;Basic;12;29/03/2022;28/06/2023;Canada;31;Male;Tablet;15 Months
103;Standard;13;04/04/2022;26/06/2023;United Kingdom;36;Male;Laptop;15 Months
104;Premium;10;08/06/2022;25/06/2023;Australia;38;Male;Laptop;13 Months
105;Basic;11;04/03/2022;27/06/2023;Germany;46;Female;Laptop;16 Months
106;Premium;10;18/03/2022;24/06/2023;France;49;Female;Tablet;15 Months
107;Basic;14;07/03/2022;24/06/2023;Brazil;29;Female;Smart TV;16 Months
108;Standard;12;24/05/2022;25/06/2023;Mexico;27;Female;Smart TV;13 Months
109;Standard;13;08/02/2023;25/06/2023;Spain;35;Female;Tablet;5 Months
110;Basic;13;26/01/2023;24/06/2023;Italy;37;Female;Laptop;5 Months
111;Premium;14;14/07/2022;27/06/2023;United States;40;Male;Tablet;12 Months
112;Basic;10;01/06/2022;28/06/2023;Canada;33;Female;Laptop;13 Months
113;Standard;15;07/05/2022;26/06/2023;United Kingdom;37;Male;Tablet;14 Months
114;Premium;10;18/11/2022;25/06/2023;Australia;48;Male;Smartphone;7 Months
115;Basic;11;05/04/2022;25/06/2023;Germany;50;Female;Laptop;15 Months
116;Premium;14;19/05/2022;23/06/2023;France;45;Female;Smart TV;13 Months
117;Basic;15;30/10/2021;23/06/2023;Brazil;40;Female;Tablet;20 Months
118;Standard;12;07/08/2022;27/06/2023;Mexico;33;Male;Smartphone;11 Months
119;Standard;11;20/09/2022;25/06/2023;Spain;44;Female;Smartphone;9 Months
120;Basic;10;18/10/2022;25/06/2023;Italy;30;Female;Smart TV;8 Months
121;Premium;15;03/10/2022;24/06/2023;United States;27;Male;Smart TV;9 Months
122;Basic;11;03/05/2022;28/06/2023;Canada;51;Male;Smart TV;14 Months
123;Standard;13;25/05/2022;26/06/2023;United Kingdom;49;Female;Smartphone;13 Months
124;Premium;15;05/11/2022;25/06/2023;Australia;43;Male;Laptop;8 Months
125;Basic;12;21/08/2022;24/06/2023;Germany;42;Male;Smartphone;10 Months
126;Premium;13;21/09/2022;23/06/2023;France;45;Male;Laptop;9 Months
127;Basic;10;23/11/2021;23/06/2023;Brazil;36;Male;Smartphone;19 Months
128;Standard;12;06/10/2022;27/06/2023;Mexico;48;Male;Smartphone;9 Months
129;Standard;13;05/11/2022;23/06/2023;Spain;38;Male;Smart TV;8 Months
130;Basic;14;07/01/2023;23/06/2023;Italy;43;Female;Tablet;6 Months
131;Premium;15;06/10/2022;23/06/2023;United States;47;Male;Laptop;9 Months
132;Basic;15;24/06/2022;28/06/2023;Canada;48;Female;Smart TV;12 Months
133;Standard;13;24/06/2022;26/06/2023;United Kingdom;47;Male;Smart TV;12 Months
134;Premium;15;05/11/2022;25/06/2023;Australia;32;Male;Tablet;8 Months
135;Basic;13;18/07/2022;26/06/2023;Germany;47;Female;Smart TV;11 Months
136;Premium;12;13/09/2022;26/06/2023;France;41;Female;Smart TV;10 Months
137;Basic;12;10/08/2022;22/06/2023;Brazil;49;Male;Laptop;11 Months
138;Standard;15;21/09/2022;23/06/2023;Mexico;28;Male;Laptop;9 Months
139;Standard;13;24/03/2023;23/06/2023;Spain;40;Male;Smartphone;3 Months
140;Basic;12;02/05/2022;23/06/2023;Italy;43;Female;Smartphone;14 Months
141;Premium;12;11/05/2022;27/06/2023;United States;42;Male;Smartphone;14 Months
142;Basic;14;10/06/2022;22/06/2023;Canada;28;Male;Smart TV;13 Months
143;Standard;14;31/08/2022;24/06/2023;United Kingdom;30;Female;Tablet;10 Months
144;Premium;10;17/08/2022;26/06/2023;Australia;33;Male;Smart TV;10 Months
145;Basic;11;05/05/2022;26/06/2023;Germany;35;Female;Laptop;14 Months
146;Basic;10;06/10/2022;25/06/2023;France;38;Male;Tablet;9 Months
147;Basic;12;08/11/2022;24/06/2023;Brazil;49;Female;Laptop;8 Months
148;Standard;15;27/11/2022;28/06/2023;Mexico;39;Female;Smartphone;7 Months
149;Premium;13;17/11/2022;27/06/2023;Spain;46;Female;Smart TV;7 Months
150;Basic;10;15/12/2022;23/06/2023;Italy;47;Female;Laptop;6 Months
151;Basic;15;12/12/2022;25/06/2023;United States;30;Female;Laptop;7 Months
152;Premium;14;23/11/2022;27/06/2023;Canada;33;Female;Tablet;7 Months
153;Standard;11;25/12/2022;24/06/2023;United Kingdom;47;Male;Smartphone;6 Months
154;Standard;11;11/03/2023;27/06/2023;Australia;27;Male;Laptop;4 Months
155;Basic;14;18/11/2022;27/06/2023;Germany;28;Male;Tablet;7 Months
156;Premium;15;19/08/2022;25/06/2023;France;47;Male;Smartphone;10 Months
157;Standard;14;27/09/2022;24/06/2023;Brazil;30;Male;Laptop;9 Months
158;Basic;13;19/10/2022;28/06/2023;Mexico;47;Female;Smartphone;8 Months
159;Standard;10;21/12/2022;26/06/2023;Spain;51;Female;Smart TV;6 Months
160;Premium;15;27/10/2022;25/06/2023;Italy;39;Male;Smartphone;8 Months
161;Basic;10;23/10/2022;24/06/2023;United States;45;Male;Tablet;8 Months
162;Premium;15;19/04/2022;25/06/2023;Canada;31;Male;Laptop;14 Months
163;Standard;11;05/04/2022;26/06/2023;United Kingdom;29;Male;Laptop;15 Months
164;Basic;11;11/03/2022;26/06/2023;Australia;42;Female;Tablet;16 Months
165;Standard;14;25/05/2022;25/06/2023;Germany;49;Male;Tablet;13 Months
166;Premium;13;16/04/2022;26/06/2023;France;42;Male;Laptop;15 Months
167;Basic;13;07/04/2022;24/06/2023;Brazil;29;Male;Smartphone;15 Months
168;Standard;10;11/12/2022;28/06/2023;Mexico;29;Male;Tablet;7 Months
169;Premium;12;20/01/2023;26/06/2023;Spain;49;Male;Tablet;5 Months
170;Basic;14;12/01/2023;25/06/2023;Italy;32;Male;Laptop;5 Months
171;Premium;11;29/04/2022;24/06/2023;United States;35;Female;Tablet;14 Months
172;Basic;12;27/04/2022;26/06/2023;Canada;39;Female;Smartphone;14 Months
173;Standard;15;03/06/2022;25/06/2023;United Kingdom;40;Male;Smartphone;13 Months
174;Standard;14;23/04/2022;25/06/2023;Australia;39;Female;Tablet;14 Months
175;Basic;10;22/04/2022;26/06/2023;Germany;47;Female;Laptop;14 Months
176;Premium;13;12/04/2022;25/06/2023;France;37;Female;Smart TV;15 Months
177;Basic;15;23/05/2022;26/06/2023;Brazil;27;Female;Smartphone;13 Months
178;Standard;13;19/10/2022;26/06/2023;Mexico;49;Female;Laptop;8 Months
179;Premium;10;03/12/2022;26/06/2023;Spain;30;Female;Tablet;7 Months
180;Basic;14;26/09/2022;25/06/2023;Italy;36;Male;Laptop;9 Months
181;Premium;15;16/06/2022;27/06/2023;United States;33;Male;Smartphone;13 Months
182;Basic;13;16/05/2022;25/06/2023;Canada;30;Female;Laptop;14 Months
183;Standard;15;26/05/2022;26/06/2023;United Kingdom;36;Female;Tablet;13 Months
184;Standard;13;26/04/2022;25/06/2023;Australia;28;Female;Laptop;14 Months
185;Basic;11;12/05/2022;25/06/2023;Germany;47;Female;Tablet;14 Months
186;Premium;12;01/03/2022;25/06/2023;France;33;Female;Smart TV;16 Months
187;Basic;13;10/07/2022;24/06/2023;Brazil;49;Female;Laptop;12 Months
188;Standard;15;16/07/2022;27/06/2023;Mexico;44;Female;Smart TV;12 Months
189;Premium;13;02/09/2022;26/06/2023;Spain;47;Male;Smart TV;10 Months
190;Basic;11;18/09/2022;26/06/2023;Italy;37;Female;Tablet;9 Months
191;Premium;10;08/07/2022;25/06/2023;United States;46;Male;Laptop;12 Months
192;Basic;14;26/06/2022;27/06/2023;Canada;50;Female;Smartphone;12 Months
193;Standard;11;05/08/2022;25/06/2023;United Kingdom;50;Male;Laptop;11 Months
194;Standard;14;19/08/2022;27/06/2023;Australia;37;Male;Laptop;10 Months
195;Basic;11;26/08/2022;24/06/2023;Germany;50;Female;Smartphone;10 Months
196;Premium;13;09/06/2022;24/06/2023;France;45;Female;Smart TV;13 Months
197;Basic;14;27/09/2022;23/06/2023;Brazil;45;Male;Tablet;9 Months
198;Standard;10;18/10/2022;27/06/2023;Mexico;49;Female;Laptop;8 Months
199;Premium;14;31/10/2022;25/06/2023;Spain;39;Female;Tablet;8 Months
200;Basic;11;13/10/2022;25/06/2023;Italy;45;Female;Tablet;9 Months
201;Premium;11;04/07/2022;27/06/2023;United States;49;Female;Smart TV;12 Months
202;Basic;12;26/06/2022;27/06/2023;Canada;31;Female;Tablet;12 Months
203;Standard;13;31/07/2022;24/06/2023;United Kingdom;42;Female;Smart TV;11 Months
204;Standard;12;27/07/2022;24/06/2023;Australia;37;Male;Smartphone;11 Months
205;Basic;12;30/07/2022;25/06/2023;Germany;30;Male;Smart TV;11 Months
206;Premium;11;06/08/2022;25/06/2023;France;40;Male;Smartphone;11 Months
207;Basic;15;16/09/2022;24/06/2023;Brazil;45;Female;Smartphone;9 Months
208;Standard;15;05/01/2023;23/06/2023;Mexico;36;Female;Tablet;6 Months
209;Premium;11;10/12/2022;24/06/2023;Spain;41;Male;Laptop;7 Months
210;Basic;14;22/11/2022;26/06/2023;Italy;49;Female;Laptop;7 Months
